section_size,eccentricity,length,DCR,median,log_standard_deviation
W24X162,0.0,1,0.75,2737.559261794597,0.3365774075245204
W24X162,0.0,1,0.5,-,-
W24X162,0.0,1,0.25,-,-
W24X162,0.0,1,0.15,-,-
W24X162,0.0,1,0.05,-,-
W30X116,0.0,1,0.95,291.5688193086211,0.8845796990254307
W30X116,0.0,1,0.85,1381.876669855881,0.3459562460491819
W30X116,0.0,1,0.75,2168.803266312267,0.34690365462410394
W30X116,0.0,1,0.5,2122.6881471866104,0.0257621397232197
W30X116,0.0,1,0.25,-,-
W30X116,0.0,1,0.15,-,-
W30X116,0.0,1,0.05,-,-
W18X234,0.0,1,0.95,1096.272251853081,0.43939492455903656
W18X234,0.0,1,0.85,2671.506834993549,0.29582650430233953
W18X234,0.0,1,0.75,2122.6881471866104,0.0257621397232197
W18X234,0.0,1,0.5,-,-
W18X234,0.0,1,0.25,-,-
W18X234,0.0,1,0.15,-,-
W18X234,0.0,1,0.05,-,-
W14X342,0.0,1,0.95,1338.4758987421615,0.40224575354970243
W14X342,0.0,1,0.85,2655.9025792850985,0.20452115845975616
W14X342,0.0,1,0.75,-,-
W14X342,0.0,1,0.5,-,-
W14X342,0.0,1,0.25,-,-
W14X342,0.0,1,0.15,-,-
W14X342,0.0,1,0.05,-,-
